Model,Framework,Sample_Size,Train_Time_s,Val_Accuracy,Val_F1
LR,MLlib,~4.2M,42.144625186920166,0.6141174979001252,0.5492909233459021
LR,Sklearn,100k,1.9937269687652588,0.6138924547140209,0.32988075292168983
RF,MLlib,~4.2M,405.9438371658325,0.6141793055357454,0.5151317813541758
RF,Sklearn,100k,2.7783005237579346,0.6144265360782263,0.33887115742432655
GBT,MLlib,~4.2M,208.5580759048462,0.716898841503035,0.7824680043055395
GBT,Sklearn,100k,20.805381298065186,0.7140604446980142,0.6059445736566674
