partitions,time_s,Scaling_Type,Efficiency,Estimated_Cost_USD,data_fraction
2,3.72,Strong,1.0,0.00020666666666666668,
4,3.38,Strong,0.5502958579881657,0.00037555555555555557,
8,3.22,Strong,0.2888198757763975,0.0007155555555555556,
16,3.57,Strong,0.13025210084033614,0.0015866666666666666,
2,1.23,Weak,1.0,6.833333333333333e-05,0.025
4,1.75,Weak,0.7028571428571428,0.00019444444444444446,0.05
8,3.28,Weak,0.375,0.0007288888888888888,0.1
16,6.03,Weak,0.20398009950248755,0.00268,0.2
