Model,Framework,Task,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,AUC_ROC
LR_MLlib,PySpark MLlib,Multiclass,0.0897,0.0148,0.008,0.0897,
RF_MLlib,PySpark MLlib,Multiclass,0.6134,0.5139,0.4966,0.6134,
DT_MLlib,PySpark MLlib,Multiclass,0.6221,0.5308,0.5488,0.6221,
RF_Tuned,PySpark MLlib,Multiclass,0.6155,0.564,0.5448,0.6155,
GBT_Binary,PySpark MLlib,Binary,0.7153,,,,0.7815
LR_Sklearn,Scikit-learn,Multiclass,0.6139,0.3299,,,
RF_Sklearn,Scikit-learn,Multiclass,0.6144,0.3389,,,
GBT_Sklearn,Scikit-learn,Multiclass,0.7141,0.6059,,,
